,,Physcial description ,,,,,,,,
,SURFACE COLOR ,SURFACE Feature(s),WIDTH ,COLOR ,,,,,,
Tape 1,Matte ,Rough ,Wide ,-,A,"A, Tape 1,5,13, 21",,1-((n(n-1)/2 + (n(n-1)/2 ... / Total comparisons)  x100,,
Tape 2,Clear ,Circular bubbles,Narrow,-,B,"L, Tape 15 and 17 ",,4(4-1)/2 = 6,2(2-1)/2=1,
Tape 3,Clear ,Irregular large bubble (water-like),Narrow,-,C,,,1- (7/231) X100 ,,0.0303030303
Tape 4,Slightly Matte,Slightly Rough,Wide ,-,D,,,1-0.030,0.97,
Tape 5,Matte,Rough ,Wide ,-,A,,,,97,
Tape 6,Clear ,Circular bubbles,Wide ,-,E,,,,,
Tape 7,-,-,-,-,-,,,97% discriminaiton ,,
Tape 8,Matte,Large and small circular bubbles,Wide ,-,F,,,,,
Tape 9,Clear ,Many grooves and bubbles ,Narrow,Pink/Green ,G,,,,,
Tape 10,Clear ,Minimal surface features ,Wide ,Purple/Green ,H,,,,,
Tape 11,Clear ,Circular bubbles,Wide ,Brown ,I,,,,,
Tape 12,Clear ,Many grooves ,Wide ,Pink/Green/Yellow/Purple/Blue,J,,,,,
Tape 13,Matte,Rough ,Wide ,-,A,,,,,
Tape 14,Off-white Matte,Rough ,Wide ,Slightly Pink ,K,,,,,
Tape 15,Off-white Matte,Rough ,Wide ,Pink,L,,,,,
Tape 16,Clear ,Some small bubbles,Wide ,Blue/Pink ,M,,,,,
Tape 17,Off-white Matte,Rough ,Wide ,Pink ,L,,,,,
Tape 18,Clear ,Minimal surface features ,Wide ,Pink/Red/Orange,N,,,,,
Tape 19,Clear ,Large bubble and Irregular bubbles,Narrow,Brown ,O,,,,,
Tape 20,Clear ,Minimal surface features ,Wide ,Purple/Blue,P,,,,,
Tape 21,Matte,Rough ,Wide ,-,A,,,,,
Tape 22,Clear ,Grooves (water-like),Narrow,Slightly Pink ,Q,,,,,
Tape 23,Matte,Rough ,Wide ,High Pink ,R,,,,,
