,Thickness of the Backing and Adhesive (mm),,,,,,,,,,,,,,,,,
,Site 1,,,AVE,STDV,Site 2,,,AVE ,STDV,Site 3 ,,,AVE ,STDV,,AVE,STDV
Tape 1,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 2,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.03,0.04,0.04,0.03666666667,0.005773502692,,0.03666666667,0.005
Tape 3,0.08,0.08,0.011,0.057,0.03983716857,0.09,0.08,0.11,0.09333333333,0.01527525232,0.08,0.09,0.09,0.08666666667,0.005773502692,,0.079,0.02727636339
Tape 4,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03666666667,0.005
Tape 5,0.04,0.04,0.03,0.03666666667,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,,0.04111111111,0.006009252126
Tape 6,0.05,0.04,0.04,0.04333333333,0.005773502692,0.06,0.05,0.05,0.05333333333,0.005773502692,0.05,0.06,0.06,0.05666666667,0.005773502692,,0.05111111111,0.0078173596
Tape 7,0.14,0.12,0.09,0.1166666667,0.02516611478,0.1,0.08,0.08,0.08666666667,0.01154700538,0.08,0.09,0.08,0.08333333333,0.005773502692,,0.09555555556,0.02127857556
Tape 8,0.06,0.05,0.04,0.05,0.01,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0,,0.05,0.005
Tape 9,0.06,0.05,0.06,0.05666666667,0.005773502692,0.06,0.06,0.07,0.06333333333,0.005773502692,0.07,0.06,0.06,0.06333333333,0.005773502692,,0.06111111111,0.006009252126
Tape 10,0.04,0.03,0.03,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03777777778,0.004409585518
Tape 11,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03777777778,0.004409585518
Tape 12,0.14,0.14,0.14,0.14,0,0.14,0.13,0.14,0.1366666667,0.005773502692,0.14,0.14,0.14,0.14,0,,0.1388888889,0.003333333333
Tape 13,0.04,0.04,0.04,0.04,0,0.05,0.04,0.04,0.04333333333,0.005773502692,0.04,0.04,0.04,0.04,0,,0.04111111111,0.003333333333
Tape 14,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 15,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 16,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,,0.03,0
Tape 17,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03666666667,0.005
Tape 18,0.04,0.03,0.03,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03666666667,0.005
Tape 19,0.07,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0,,0.07,0
Tape 20,0.03,0.04,0.03,0.03333333333,0.005773502692,0.04,0.05,0.04,0.04333333333,0.005773502692,0.04,0.04,0.04,0.04,0,,0.03888888889,0.006009252126
Tape 21,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 22,0.05,0.06,0.06,0.05666666667,0.005773502692,0.06,0.06,0.06,0.06,0,0.06,0.06,0.05,0.05666666667,0.005773502692,,0.05777777778,0.004409585518
Tape 23,0.04,0.04,0.04,0.04,0,0.03,0.04,0.04,0.03666666667,0.005773502692,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03777777778,0.004409585518
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Thickness of The Tape Backing (mm),,,,,,,,,,,,,,,,,
,Site 1,,,AVE,STDV,Site 2,,,AVE ,STDV,Site 3 ,,,AVE ,STDV,,AVE,STDV
Tape 1,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.03,0.05,0.04,0.01,,0.03666666667,0.007071067812
Tape 2,0.03,0.03,0.03,0.03,0,0.03,0.03,0.02,0.02666666667,0.005773502692,0.03,0.03,0.02,0.02666666667,0.005773502692,,0.02777777778,0.004409585518
Tape 3,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,0.05,0.05,0.04,0.04666666667,0.005773502692,,0.04111111111,0.0078173596
Tape 4,0.02,0.02,0.03,0.02333333333,0.005773502692,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.05,0.04,0.04333333333,0.005773502692,,0.03333333333,0.01
Tape 5,0.04,0.04,0.03,0.03666666667,0.005773502692,0.03,0.03,0.02,0.02666666667,0.005773502692,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03333333333,0.007071067812
Tape 6,0.03,0.03,0.02,0.02666666667,0.005773502692,0.05,0.03,0.04,0.04,0.01,0.02,0.02,0.03,0.02333333333,0.005773502692,,0.03,0.01
Tape 7,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
Tape 8,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.04,0.03,0.03333333333,0.005773502692,,0.03111111111,0.003333333333
Tape 9,0.01,0.01,0.01,0.01,0,0.02,0.03,0.02,0.02333333333,0.005773502692,0.03,0.03,0.03,0.03,0,,0.02111111111,0.009279607271
Tape 10,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0,,0.01666666667,0.005
Tape 11,0.02,0.03,0.02,0.02333333333,0.005773502692,0.03,0.03,0.03,0.03,0,0.03,0.02,0.03,0.02666666667,0.005773502692,,0.02666666667,0.005
Tape 12,0.09,0.1,0.1,0.09666666667,0.005773502692,0.1,0.1,0.09,0.09666666667,0.005773502692,0.1,0.1,0.11,0.1033333333,0.005773502692,,0.09888888889,0.006009252126
Tape 13,0.02,0.02,0.03,0.02333333333,0.005773502692,0.04,0.03,0.03,0.03333333333,0.005773502692,0.05,0.04,0.05,0.04666666667,0.005773502692,,0.03444444444,0.01130388331
Tape 14,0.01,0.01,0.01,0.01,0,0.02,0.02,0.02,0.02,0,0.02,0.03,0.02,0.02333333333,0.005773502692,,0.01777777778,0.006666666667
